date,A000020,A000040,A000050,A000060,A000070,A000080,A000100,A000120,A000140,A000150,A000180,A000210,A000220,A000230,A000240,A000250,A000270,A000300,A000320,A000370,A000390,A000400,A000430,A000440,A000480,A000490,A000500,A000520,A000540,A000590,A000640,A000650,A000660,A000670,A000680,A000700,A000720,A000760,A000810,A000850,A000860,A000880,A000890,A000910,A000950,A000970,A000990,A001000,A001020,A001040,A001060,A001070,A001080,A001120,A001130,A001140,A001200,A001210,A001230,A001250,A001260,A001270,A001290,A001340,A001360,A001380,A001390,A001420,A001430,A001440,A001450,A001460,A001470,A001500,A001510,A001520,A001530,A001540,A001550,A001560,A001570,A001620,A001630,A001680,A001720,A001740,A001750,A001770,A001780,A001790,A001800,A001810,A001820,A001840,A001880,A001940,A002020,A002030,A002070,A002100
2015-01-02,5530,6383,18750,12600,89800,22600.0,28419,187500,11950,79955,1892,64500,7630,13783,24550,10050.0,52300,1260,25200,4551,15100,2308,5960,4620,115500,9880,24000,5269,3750,81300,120000,51700,47750,1250000,3990,9590,40950,13400,285000,65900,50700,29475,1070,3895,34100,4910,4645,698,14549,148517,12420,6100,17800,29250,156000,1057,1960,17947,5770,6051,81361,15050,1096,2169,1981,1310,16650,2335,28000,6000,26000,262500,22425,10400,827,926,68118,12000.0,12300,8250.0,1355,2012,60500,34250,55000,8820,6990,10857,3060.0,24800,49122,2335,3820,4260,13000,9840,22450,152000,3450,4830
2015-01-05,5500,6444,18550,12400,88700,23050.0,28251,182500,11800,80349,1877,62000,7660,13601,24200,10550.0,52000,1265,25050,4541,15400,2286,5870,4600,109500,9710,23400,5308,3735,81400,118500,51700,47650,1224000,3965,9050,41100,13400,286000,66000,51500,29329,1065,3875,34500,4830,4580,693,14435,150403,12377,6300,17300,29050,151500,1057,1935,17749,6040,5944,79695,15000,1063,2156,1973,1310,17700,2315,28500,6000,26100,260500,22900,10150,811,921,67935,12100.0,12250,8220.0,1370,1995,59200,35200,55300,8820,6960,10679,3070.0,24900,49614,2390,3890,4300,13000,9780,22600,153000,3429,4805
2015-01-06,5470,6383,18000,12550,89500,22650.0,28083,181500,11750,78773,1823,58200,7630,13646,24300,10550.0,51200,1250,24950,4404,15400,2278,5670,4590,103500,9720,22250,5346,3740,80000,117500,51700,47500,1223000,3935,9080,39500,13450,290500,64100,50900,28794,1085,3845,34750,4935,4455,704,14681,149460,12508,6360,17200,28900,152000,1052,1925,17352,5870,5894,83722,15000,1043,2178,2006,1310,17550,2330,26950,6000,26750,257000,26200,10200,806,916,67659,11950.0,12050,8200.0,1345,1944,59500,34550,55800,8600,6880,10501,3035.0,24800,48336,2435,3880,4245,14800,9650,22900,152000,3408,4790
2015-01-07,5540,6292,17550,12600,88100,22700.0,27831,183500,11700,79955,1867,58200,7590,13692,23550,10450.0,51800,1260,25700,4384,14850,2278,5510,4540,106000,9750,22600,5356,3730,80000,113000,52300,47400,1214000,3760,8640,39050,13550,296500,65000,51700,28356,1065,3930,34750,5150,4450,702,14398,149460,12508,6400,17100,28900,149000,1135,1910,17352,5900,5759,79140,15300,1015,2160,2019,1335,17550,2350,27100,6000,26700,252000,24800,10150,804,914,68762,12000.0,12050,8120.0,1310,1944,59000,33700,54700,8650,6900,10590,2985.0,24500,48140,2410,3800,4210,15950,9630,23100,148500,3379,4850
2015-01-08,5500,6230,17650,12900,86600,22850.0,27578,184500,11900,79955,1877,58700,7570,13920,23350,10800.0,52200,1295,25400,4287,14650,2286,5550,4530,106000,9700,22350,5356,3750,80000,111000,52500,49950,1290000,3740,8670,39050,13600,300500,64200,49350,28891,1075,3925,35150,5130,4475,728,14266,154646,12508,6500,16750,28800,152000,1164,1910,17203,5950,5759,77335,15400,1063,2156,2015,1330,17400,2350,27350,6000,26700,246000,23750,10250,815,914,68302,11900.0,12150,8000.0,1320,1965,58100,32600,54500,8650,6820,10545,3010.0,24300,47649,2425,3820,4480,16050,9500,23450,144000,3278,4850
2015-01-09,5540,6322,16950,12800,87800,23150.0,28083,188000,12000,81924,1892,59600,7620,14514,23900,10500.0,53400,1280,25250,4365,14900,2286,5680,4570,108000,9790,22550,5346,3800,81100,112500,52000,49700,1297000,3755,8790,39700,13450,297000,63400,49350,28891,1070,3995,34900,5150,4575,746,14171,157003,12420,6730,16750,28850,159000,1140,1930,17501,6050,5809,74975,15500,1075,2156,2011,1305,17750,2365,27900,6000,26700,252000,27150,10600,835,940,68210,12050.0,12350,8080.0,1305,2008,56000,32750,55900,8700,6810,10590,3190.0,24400,47894,2545,3850,4475,15900,9700,23900,139000,3228,4875
2015-01-12,5560,6353,16550,12650,88800,23000.0,28419,190500,11900,80349,1892,59300,8080,14377,23900,10600.0,53000,1250,24850,4345,15000,2312,5720,4510,109000,9860,22500,5317,3895,81600,113500,52300,50300,1308000,3685,9680,39350,13450,292000,65100,49400,30107,1060,4065,35200,5230,4560,857,14190,157946,12464,6820,16900,29950,156000,1135,1920,17699,6010,5731,74697,15250,1073,2156,2002,1315,17750,2340,28150,6000,26550,254000,26650,10550,825,971,67935,12050.0,12400,8040.0,1305,1982,56600,32850,55300,8970,6880,10679,3550.0,24450,47894,2620,3910,4005,15800,9550,24400,143500,3232,4855
2015-01-13,5600,6872,17000,12550,88800,22750.0,27915,192000,11700,80349,1877,59100,7860,14377,24550,10700.0,54200,1260,24950,4296,14500,2299,5790,4690,112000,9950,22550,5279,3900,79800,117000,51700,49000,1306000,3670,9500,39100,13350,295000,65500,49400,29961,1050,4070,35400,5140,4545,985,13964,152288,12420,6960,16900,29400,157500,1111,1930,17501,5980,5717,74975,15400,1073,2138,2006,1320,17550,2345,27550,6000,26550,254000,26750,10500,833,950,67659,12700.0,11800,7980.0,1280,1974,60300,32150,54000,9070,6800,10679,3600.0,25300,48582,2665,3880,3900,15500,9550,23900,147000,3266,4770
2015-01-14,5720,6750,16950,12550,89000,22650.0,28167,183500,11550,80742,1877,59100,7990,14011,24500,10450.0,53600,1245,24200,4291,14500,2346,5700,4730,108500,9960,22550,5336,4100,80800,117000,52100,48900,1353000,3600,9830,38950,13300,297000,66600,51100,30350,1045,4080,36050,5080,4495,1132,13964,152760,12726,7300,16800,30250,158500,1081,1930,17402,5840,5724,71087,16050,1051,2138,1994,1330,17400,2350,27750,6000,26150,254500,26200,10350,834,971,67659,12650.0,11750,7990.0,1260,1991,59100,32000,54000,8780,6900,10679,3700.0,24650,48828,2590,3870,3995,15500,9650,24800,147000,3270,4750
2015-01-15,5750,6841,17050,12600,88900,22900.0,27999,182000,11600,80742,1877,58200,8210,14650,24750,10550.0,52500,1250,24000,4306,14650,2368,5880,4600,109000,9950,22350,5336,4220,81600,119000,51900,49500,1354000,3670,9690,38100,13150,298500,65500,51000,28794,1095,4075,35100,5100,4520,1300,14058,157475,12726,7470,16500,30400,158500,1123,1915,17798,5910,5653,71504,15850,1063,2120,1998,1340,18000,2345,28200,6000,26400,254000,26300,10200,815,1005,67383,12350.0,11850,7500.0,1250,2092,60000,32400,53400,8670,6830,12281,4135.0,24750,49270,2600,3840,4000,15300,9650,24750,144000,3266,4750
